""         "Heuristic Solution"   "Heuristic Solution" "Heuristic Solution" "CPLEX" "CPLEX" "CPLEX"
"Internet2"  1.8386      1.52584     2.20819   1.7    1.4082    2.1231
"Data Center" 0.525445 0.357985 1.203906 0.3909575 0.256802   0.712256 
